Время,Координата,Сера
74.6526,196.97,200
74.6526,212.121,200
74.6526,227.273,200
74.6526,242.424,200
74.6526,257.576,200
74.6526,272.727,200
74.6526,287.879,200
74.6526,303.03,200
74.6526,318.182,200
74.6526,333.333,200
74.6526,348.485,200
74.6526,363.636,200
74.6526,378.788,200
74.6526,393.939,200
74.6526,409.091,200
74.6526,424.242,200
74.6526,439.394,200
74.6526,454.545,200
74.6526,469.697,200
74.6526,484.848,200
74.6526,500,200
74.6526,515.152,200
74.6526,530.303,200
74.6526,545.455,200
74.6526,560.606,200
74.6526,575.758,200
74.6526,590.909,200
74.6526,606.061,200
74.6526,621.212,200
74.6526,636.364,200
74.6526,651.515,200
74.6526,666.667,200
74.6526,681.818,200
74.6526,696.97,200
74.6526,712.121,200
74.6526,727.273,200
74.6526,742.424,200
74.6526,757.576,200
74.6526,772.727,200
74.6526,787.879,200
74.6526,803.03,200
74.6526,818.182,200
74.6526,833.333,200
74.6526,848.485,200
74.6526,863.636,200
74.6526,878.788,200
74.6526,893.939,200
74.6526,909.091,200
74.6526,924.242,200
74.6526,939.394,200
74.6526,954.545,200
74.6526,969.697,200
74.6526,984.848,200
74.6526,1000,200
74.6526,1015.15,200
74.6526,1030.3,200
74.6526,1045.45,200
74.6526,1060.61,200
74.6526,1075.76,200
74.6526,1090.91,200
74.6526,1106.06,200
74.6526,1121.21,200
74.6526,1136.36,200
74.6526,1151.52,200
74.6526,1166.67,200
74.6526,1181.82,200
74.6526,1196.97,200
74.6526,1212.12,200
74.6526,1227.27,200
74.6526,1242.42,200
74.6526,1257.58,200
74.6526,1272.73,200
74.6526,1287.88,200
74.6526,1303.03,200
74.6526,1318.18,200
74.6526,1333.33,200
74.6526,1348.48,200
74.6526,1363.64,200
74.6526,1378.79,200
74.6526,1393.94,200
74.6526,1409.09,200
74.6526,1424.24,200
74.6526,1439.39,200
74.6526,1454.55,200
74.6526,1469.7,200
74.6526,1484.85,200
74.6526,1500,200
85.3151,0,289
85.3151,15.1515,289
85.3151,30.303,289
85.3151,45.4545,289
85.3151,60.6061,289
85.3151,75.7576,289
85.3151,90.9091,289
85.3151,106.061,289
85.3151,121.212,200
85.3151,136.364,200
85.3151,151.515,200
85.3151,166.667,200
85.3151,181.818,200
85.3151,196.97,200
85.3151,212.121,200
85.3151,227.273,200
85.3151,242.424,200
85.3151,257.576,200
85.3151,272.727,200
85.3151,287.879,200
85.3151,303.03,200
85.3151,318.182,200
85.3151,333.333,200
85.3151,348.485,200
85.3151,363.636,200
85.3151,378.788,200
85.3151,393.939,200
85.3151,409.091,200
85.3151,424.242,200
85.3151,439.394,200
85.3151,454.545,200
85.3151,469.697,200
85.3151,484.848,200
85.3151,500,200
85.3151,515.152,200
85.3151,530.303,200
85.3151,545.455,200
85.3151,560.606,200
85.3151,575.758,200
85.3151,590.909,200
85.3151,606.061,200
85.3151,621.212,200
85.3151,636.364,200
85.3151,651.515,200
85.3151,666.667,200
85.3151,681.818,200
85.3151,696.97,200
